Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,136.74,-117.12,180,top
C2,100nF,C_0402_1005Metric,137.98125,-75.97375,90,top
C3,100nF,C_0402_1005Metric,141.69125,-75.97375,90,top
C4,100nF,C_0402_1005Metric,145.39,-75.95,90,top
C5,100nF,C_0402_1005Metric,149.1,-75.99,90,top
C6,10pF,C_0402_1005Metric,120.7,-96.72,0,top
C7,100nF,C_0402_1005Metric,137.98125,-74.02375,-90,top
C8,100nF,C_0402_1005Metric,141.69125,-74.02375,-90,top
C9,100nF,C_0402_1005Metric,145.39,-74.01,-90,top
C10,100nF,C_0402_1005Metric,149.1,-74.02,-90,top
C11,10uF,C_0603_1608Metric,164.635,-74.07,0,top
C12,100nF,C_0402_1005Metric,170.62,-110.23,0,top
C13,100nF,C_0402_1005Metric,171.42,-113.66,0,top
D1,LED,LED,135.2,-95.7,0,top
D2,LED,LED,164.8,-95.8,180,top
J1,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,150.4,-78.84,-90,top
J2,Conn_01x04_Socket,PinHeader_1x04_P2.54mm_Vertical,127.712994,-112.012994,45,top
J3,Optional External Button,PinHeader_1x02_P2.54mm_Vertical,170.246051,-79.966051,-135,top
J4,Optional External Button,PinHeader_1x02_P2.54mm_Vertical,131.73,-82.6,0,top
J5,Optional External Button,PinHeader_1x02_P2.54mm_Vertical,129.873949,-120.073949,45,top
J6,Optional External Button,PinHeader_1x02_P2.54mm_Vertical,170.21,-120.06,-45,top
J7,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,164.747898,-82.197898,45,top
J8,I2C,PinHeader_1x02_P2.54mm_Vertical,162.53,-112.275,0,top
J9,Optional External Button,PinHeader_1x02_P2.54mm_Vertical,150,-88.375,180,top
J10,Battery 1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,136.05,-104.225,-90,top
J11,Battery 2,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,163.95,-104.3,90,top
J12,Battery Monitor,PinHeader_1x02_P2.54mm_Vertical,135.55,-111.35,90,top
R1,1k,R_0402_1005Metric,136.72,-116.02,180,top
R2,24k,R_0402_1005Metric,136.769999,-114.92,0,top
R3,Placeholder,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,121.27,-108.56,90,top
R4,10k,R_0402_1005Metric,176.61,-85.29,45,top
R5,10k,R_0402_1005Metric,128.33,-80.3,135,top
R6,10k,R_0402_1005Metric,123.430624,-114.809376,-135,top
R7,10k,R_0402_1005Metric,176.570624,-114.720624,-45,top
R8,10k,R_0402_1005Metric,165.41,-114.07,0,top
R9,10k,R_0402_1005Metric,165.43,-111.61,0,top
R10,20Ω,R_1206_3216Metric,128.2,-97.73,-90,top
R11,20Ω,R_1206_3216Metric,171.72,-97.9475,-90,top
R12,10k,R_0402_1005Metric,154.48,-87.040001,90,top
R13,10k,R_0402_1005Metric,168.84,-114.88,180,top
R14,10k,R_0402_1005Metric,168.580001,-110.22,180,top
SW1,Limit Switch SKRTLAE010,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,173.74,-83.163,135,top
SW2,Limit Switch SKRTLAE010,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,126.252389,-83.163389,-135,top
SW3,Limit Switch SKRTLAE010,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,126.252389,-116.839911,-45,top
SW4,Limit Switch SKRTLAE010,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,173.747611,-116.836611,45,top
SW5,Button B3F-1000,SW_PUSH_6mm,146.75,-84.85,0,top
SW6,~,MS-22D28-G020,124.93,-90.88,90,top
SW7,~,MS-22D28-G020,128,-104.3,90,top
SW8,~,MS-22D28-G020,172.1,-104.4,90,top
U1,~,WSON-8-EP(2x2),139.81125,-74.71375,90,top
U2,~,WSON-8-EP(2x2),143.55125,-74.71375,90,top
U3,~,WSON-8-EP(2x2),147.24125,-74.71375,90,top
U4,~,WSON-8-EP(2x2),150.96125,-74.72375,90,top
U5,~,SOT-23-5,137.45,-119.44,0,top
U6,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,157.46625,-76.98625,-90,top
U7,~,XIAO_ESP32S3,158.916,-109.58275,180,top
U8,LSM6DSOXTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,168.79,-112.5575,90,top
